ds,hierarchy_2_code,item_id,y
2021-10-19,15,971991,0.0
2021-10-19,72,977410,5.0
2021-10-19,71,440500,24.0
2021-10-19,61,494937,5.0
2021-10-19,15,1394,14.976
2021-10-19,15,376635,8.0
2021-10-20,60,937937,15.0
2021-10-20,82,955764,3.0
2021-10-20,101,3935,2.0
2021-10-20,15,1403,123.0
2021-10-20,82,1138428,1.0
2021-10-20,101,3906,2.0
2021-10-20,54,945593,1.0
2021-10-20,82,1078620,1.0
2021-10-20,43,17269,0.0
2021-10-20,15,971991,0.0
2021-10-20,72,977410,10.0
2021-10-20,71,440500,28.0
2021-10-20,61,494937,2.0
2021-10-20,15,1394,7.79
2021-10-20,15,376635,11.0
2021-10-21,60,937937,14.0
2021-10-21,82,955764,0.0
2021-10-21,101,3935,0.0
2021-10-21,15,1403,105.0
2021-10-21,82,1138428,1.0
2021-10-21,101,3906,0.0
2021-10-21,54,945593,7.0
2021-10-21,82,1078620,0.0
2021-10-21,43,17269,1.0
2021-10-21,15,971991,0.0
2021-10-21,72,977410,10.0
2021-10-21,71,440500,39.0
2021-10-21,61,494937,6.0
2021-10-21,15,1394,12.04
2021-10-21,15,376635,14.0
2021-10-22,60,937937,11.0
2021-10-22,82,955764,3.0
2021-10-22,101,3935,0.0
2021-10-22,15,1403,128.0
2021-10-22,82,1138428,1.0
2021-10-22,101,3906,7.0
2021-10-22,54,945593,2.0
2021-10-22,82,1078620,1.0
2021-10-22,43,17269,1.0
2021-10-22,15,971991,0.0
2021-10-22,72,977410,17.0
2021-10-22,71,440500,38.0
2021-10-22,61,494937,12.0
2021-10-22,15,1394,17.28
2021-10-22,15,376635,17.0
2021-10-23,60,937937,30.0
2021-10-23,82,955764,1.0
2021-10-23,101,3935,0.0
2021-10-23,15,1403,127.0
2021-10-23,82,1138428,1.0
2021-10-23,101,3906,0.0
2021-10-23,54,945593,3.0
2021-10-23,82,1078620,0.0
2021-10-23,43,17269,1.0
2021-10-23,15,971991,0.0
2021-10-23,72,977410,28.0
2021-10-23,71,440500,56.0
2021-10-23,61,494937,6.0
2021-10-23,15,1394,16.88
2021-10-23,15,376635,20.0
2021-10-24,60,937937,18.0
2021-10-24,82,955764,1.0
